timestamp,temp_C,humidity_%,pressure_hPa,gas_resistance_kOhm,mq135_raw,mq135_voltage,mq135_ratio,mq3_raw,mq3_voltage,mq3_ratio,contamination_level_%,label
1702062,32.05,71.17,1007.95,27.24,2064.34,1.664,0.9837,1654.06,1.333,1.4757,100,best
1707931,32.05,71.15,1007.95,27.19,2064.68,1.664,0.9834,1647.80,1.328,1.4851,100,best
1713800,32.05,71.09,1007.95,27.22,2061.46,1.661,0.9865,1644.08,1.325,1.4908,100,best
1719669,32.05,71.09,1007.96,27.26,2061.52,1.661,0.9864,1643.18,1.324,1.4921,100,best
1725538,32.06,71.07,1007.97,27.34,2068.12,1.667,0.9801,1644.62,1.325,1.4899,100,best
1731407,32.06,71.05,1007.97,27.31,2060.88,1.661,0.9870,1645.70,1.326,1.4883,100,best
1737276,32.06,71.04,1007.96,27.34,2060.40,1.660,0.9875,1645.50,1.326,1.4886,100,best
1743145,32.06,71.06,1007.97,27.33,2061.02,1.661,0.9869,1646.88,1.327,1.4865,100,best
1749014,32.06,71.08,1007.97,27.31,2054.50,1.656,0.9932,1646.86,1.327,1.4866,100,best
1754883,32.06,71.09,1007.96,27.43,2050.98,1.653,0.9966,1646.62,1.327,1.4869,100,best
1760752,32.06,71.08,1007.97,27.29,2047.40,1.650,1.0001,1655.36,1.334,1.4738,100,best
1766621,32.06,71.08,1007.96,27.47,2046.26,1.649,1.0012,1651.44,1.331,1.4797,100,best
1772490,32.06,71.07,1007.96,27.43,2043.20,1.647,1.0042,1644.76,1.325,1.4897,100,best
1778359,32.07,71.06,1007.97,27.38,2041.18,1.645,1.0062,1644.98,1.326,1.4894,100,best
1784228,32.07,71.04,1007.98,27.38,2039.50,1.644,1.0078,1644.10,1.325,1.4907,100,best
1790097,32.07,71.03,1007.97,27.40,2038.08,1.642,1.0092,1643.80,1.325,1.4912,100,best
1795966,32.07,71.03,1007.97,27.52,2036.00,1.641,1.0113,1643.56,1.324,1.4915,100,best
